battle_we_lose_censored_large;They were outnumbered forty to one in some sections of the front, and still held the line' a high military commander praised the bravery of our soldiers, who managed to delay enemy advance in $STRING_0_3$ for as long as it was strategically feasible, and inflicted $VALUE_INT_0_2$ of casualties against our foes. 'We are not ready to publish the number of casualties on our side' a government official replied, when asked about our own losses. 'Our people must rally behind the government when it comes to national defence' he challenged the sceptics.;;Ein hochrangiger militärischer Befehlshaber lobpreiste die Tapferkeit unserer Soldaten, die 'an manchen Frontabschnitten vierzig gegen einen in der Unterzahl waren und dennoch die Stellung hielten' und somit einen feindlichen Vorstoß in $STRING_0_3$ so lange wie strategisch sinnvoll hinauszögerten. $VALUE_INT_0_2$ feindliche Soldaten fanden den Tod. 'Wir haben noch keine Zahlen unserer eigenen Verluste', so ein Regierungssprecher auf unsere diesbezügliche Frage. 'Wir brauchen den Rückhalt unseres Volkes, wenn es um die nationale Verteidigung geht', forderte er alle Skeptiker heraus.;;;;;;;;;;;x,,,,,,
battle_we_lose_censored_medium;Our brave soldiers succeeded in slowing down enemy advance against our territory, fighting a pitched battle against outnumbering force from $TAG_0_2$. 'If we lose every battle in such a great fashion, we might as well win this entire war' a high ranking officer commented.;;Unsere tapferen Soldaten konnten den feindl. Vorstoß mit Erfolg in offener Feldschlacht gegen die zahlenmäßig überlegenen Truppen von $TAG_0_2$ verzögern. 'Wenn wir jedes Gefecht auf so großartige Art verlieren, können wir den Krieg auch gewinnen', sagte ein hochrangiger Offizier.;;;;;;;;;;;x,,,,,,,,,,
battle_we_lose_censored_small;On $DATE_LONG_0$ we successfully evacuated troops from the battle of $STRING_0_3$, inflicting $VALUE_INT_0_2$ casualties, but leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ evakuierten wir erfolgreich Truppen aus dem Gefecht in $STRING_0_3$ mit $VALUE_INT_0_2$ gegnerischen Verlusten, mussten jedoch $TAG_0_2$ die Kontrolle des Feldes überlassen.;;;;;;;;;;;x,,,,,,,,,,,
battle_we_lose_censored_title_large;Interrupted enemy advance in $STRING_0_3$!;;Feindlicher Vorstoß in $STRING_0_3$ verzögert!;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_lose_censored_title_medium;Delayed enemy in $STRING_0_3$;;Feind in $STRING_0_3$ aufgehalten;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_lose_censored_title_small;Moral victory in $STRING_0_3$;;Moralischer Sieg in $STRING_0_3$;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_lose_large;On $DATE_LONG_0$ our incompetent high command shockingly sent $VALUE_INT_0_4$ of our brave soldiers to their deaths in $STRING_0_3$ against the forces of  $TAG_0_2$. Our $VALUE_INT_0_3$ fine troops faced $VALUE_INT1$ $TAG_0_2_ADJ$ soldiers, and despite poor leadership and the enemy's underhanded tactics managed to inflict $VALUE_INT_0_2$ casualties upon them. This paper expresses grave concerns over the direction the high command is taking this war, and strongly urges the Government to take steps to correct it before it is too late!;;Am $DATE_LONG_0$ sendete unser unfähiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Führung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere große Sorge über die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureißen, bevor es zu spät ist!;;;;;;;;;;;x,,,,,,,,,,
battle_we_lose_large_censored_press;Reports from the field tell us that on $DATE_LONG_0$, our courageous troops have made a tactical retreat from the battle against $TAG_0_3$ in $STRING_0_3$. This has been proven necessary to maximise our element of unpredictability and surprise. $VALUE_INT_0_4$ enemy soldiers have been killed by our valiant boys. Although $VALUE_INT_0_2$ of our soldiers are yet to report back for duty, it's worth noting that many of our troops remain hidden to surprise the enemy in an ambush, showing true courage and resilience!;;Meldungen von der Front berichten, dass unsere tapferen Truppen am $DATE_LONG_0$ einen taktischen Rückzug vom Kampf gegen $TAG_0_3$ in $STRING_0_3$ antraten. Dies erwies sich zur Maximierung unseres Überraschungselements und unserer Unberechenbarkeit als notwendig. $VALUE_INT_0_4$ feindliche Soldaten fanden durch unsere wackeren Jungs den Tod. Auch wenn $VALUE_INT_0_2$ unserer Soldaten noch vermisst werden, sollte nicht vergessen werden, dass viele unserer Truppen weiterhin im Hinterhalt auf den Feind lauern und wahre Tapferkeit und Widerstandskraft beweisen.;;;;;;;;;;;x,,,,,,,,
battle_we_lose_medium;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x,,,,,,,,,,,,
battle_we_lose_medium_censored_press;On $DATE_LONG_0$, a tactical retreat from the battle against $TAG_0_3$ has been proven necessary, in order to maximise our element of surprise! $VALUE_INT_0_2$ of our soldiers are said to be hiding for an ambush, while $VALUE_INT_0_4$ enemy troops have been killed!;;Am $DATE_LONG_0$ erwies sich ein taktischer Rückzug vom Kampf gegen $TAG_0_3$ zur Maximierung unseres Überraschungselements als notwendig. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und $VALUE_INT_0_4$ feindliche Truppen fanden den Tod.;;;;;;;;;;;x,,,,,,,,,,,
battle_we_lose_small;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x,,,,,,,,,,,,
battle_we_lose_small_censored_press;On $DATE_LONG_0$, a tactical retreat has been conducted from the battle against $TAG_0_3$. It is thought $VALUE_INT_0_2$ of our troops are in hiding, preparing for an ambush!;;Am $DATE_LONG_0$ kam es zum taktischen Rückzug vom Kampf gegen $TAG_0_3$. Schätzungsweise $VALUE_INT_0_2$ unserer Soldaten verbergen sich weiterhin im Hinterhalt und lauern auf den Feind.;;;;;;;;;;;x ,,,,,,,,,,,,
battle_we_lose_title_large;MILITARY BLUNDER LEADS TO DISASTER IN $STRING_0_3$!;;MILITÄRISCHER PATZER FÜHRT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_lose_title_medium;Defeat in $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_lose_title_small;Disaster in $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_win_large;On $DATE_LONG_0$ our unrivalled army was, once again, victorious in the battle of $STRING_0_3$! $VALUE_INT_0_1$ of our men bravely gave $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops a sound seeing to, and while $VALUE_INT_0_2$ of our fearless troops lost their lives, over $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed and the field was left in our hands. After a defeat like this, $TAG_0_3$ surely must soon seek peace terms!;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Männer gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben ließen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getötet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x,,,,,,,
battle_we_win_medium;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$, at the cost of $VALUE_INT_0_2$ lives lost.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x,,,,,,,,,,,,
battle_we_win_small;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_win_title_large;GLORIOUS VICTORY IN $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_win_title_medium;Victory in $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x,,,,,,,,,,,,,,
battle_we_win_title_small;Victory!;;Sieg!;;;;;;;;;;;x,,,,,,,,,,,,,,
dino_fake_1830_title_1;Ornithichnology;;Ornithichnologie;;;;;;;;;; ;x,,,,,,,,,,,,,,
dino_fake_1830_1;Prof. Hitchcock reports fossil tracks of birds discovered near the Connecticut river in Massachusetts. Some of the foot marks indicate that they were made by some enormous species of bird...;;Prof. Hitchcock meldet Entdeckung von Fossilienspuren von Vögeln nahe des Connecticut-Flusses, Massachusetts. Einige Spuren deuten auf riesige Vogelart hin…;;;;;;;;;;;x,,,,,,,,,,,,,
dino_fake_1830_title_2;Plateosaurus;;Plateosaurus;;;;;;;;;;;x,,,,,,,,,,,,,,
dino_fake_1830_2; In honour of Dr. Engelhardt, original discoverer of the remains, Dr. von Meyer named a new giant saurian as Plateosaurus engelhardti. It seems to be related to Iguanodon and Megalosaurus.;; Zu Ehren des Entdeckers Dr. Engelhardt nannte Dr. von Meyer einen neuen riesigen Saurier 'Plateosaurus engelhardti'. Er scheint mit Iguanodon und Megalosaurus verwandt zu sein.;;;;;;;;;;;x,,,,,,,,,,,,
dino_fake_1830_title_3;Thecodontosaurus;;Thecodontosaurus;;;;;;;;; ;;x,,,,,,,,,,,,,,
dino_fake_1830_3;This unusual saurian has teeth in its sockets instead of having them fused to the jaw like modern reptiles, say Dr. Riley and Dr. Stutchbury, the describers of this lizard.;;Dieser ungewöhnliche Saurier besaß Zähne in Zahnhöhlen, nicht wie moderne Reptilien direkt mit dem Kiefer verbundene, wie Dr. Rilez und Dr. Stutchbury, Entdecker der Eidechse, sagen.;;;;;;;;;;;x,,,,,,,,
dino_fake_1830_title_4;Poekilopleuron;;Poekilopleuron;;;;;;;;;;; x,,,,,,,,,,,,,,
dino_fake_1830_4;Dr. Eudes-Deslongchamps resports on a new saurian known from vertebrae, ribs and limbs. He thinks this animal is related to the Megalosaurus.;;Dr. Eudes-Deslongchamps meldet aufgrund von Wirbel-, Rippen- und Gliedmaßen-Funden einen neuen Saurier. Er glaubt, das Tier ist mit dem Megalosaurus verwandt.;;;;;;;;;;;x,,,,,,,,,,,
dino_fake_1840_title_1;Dinosauria;;Dinosauria;;;;;;;;;;;x,,,,,,,,,,,,,,
dino_fake_1840_1; Dinosauria is the name Prof. Owen proposed for the tribe of Saurians that include Megalosaurus, Hylaeosaurus and Iguanodon. These dinosaurians are remarkable for their large size.;; Prof. Owen schlug für die Sauriergattung, der Megalosaurus, Hylaeosaurus und Iguanodon angehören, den Namen Dinosauria vor. Ihre Größe ist bemerkenswert.;;;;;;;;;;;x,,,,,,,,,,
dino_fake_1840_title_2;Cetiosaurus;;Cetiosaurus;;;;;;;;;;;x,,,,,,,,,,,,,,
dino_fake_1840_2; A new giant fossil sea-dwelling reptilian was discovered. Prof. Owen named it Cetiosaurus, which means “whale lizard”.;; Neue Entdeckung eines riesigen, aquatischen Reptil-Fossils. Prof. Owen nannte es Cetiosaurus, was “Wal-Echse” bedeutet.;;;;;;;;;;;x,,,,,,,,,,,
dino_fake_1840_title_3;Cardiodon;;Cardiodon;;;;;;;;;;;x,,,,,,,,,,,,,,
dino_fake_1840_3;A single heart shaped tooth was discovered in Wiltshire, England. After analyzing it Prof. Owen decided to give it the name of Cardiodon.;;Ein einzelner, herzförmiger Zahn wurde in Wiltshire, England entdeckt. Prof. Owen entschloss sich nach seiner Analyse, ihn Cardiodon zu taufen.;;;;;;;;;;;x,,,,,,,,,,
dino_fake_1840_title_4;Regnosaurus;;Regnosaurus;;;;;;;;;;;x,,,,,,,,,,,,,,
