aeroplanes;Aeroplanes;Avions;Flugzeuge;;Aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;Fábrica de aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory_desc;Machine parts, electric gear and rubber are needed to produce aeroplanes.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des avions.;Zum Flugzeugbau sind Maschinenteile, Elektroteile und Gummi erforderlich.;;Para hacer aeroplanos se necesitan componentes eléctricos, caucho y piezas de maquinaria.;;;;;;x;;;;;;;,,,,,,,
ammunition;Ammunition;Balles/Obus;Munition;;Munición;;;;;;;;;x;;;;,,,,,,,,,,,
ammunition_factory;Ammunition Factory;Manufacture de munitions;Munitionsfabrik;;Fábrica de municiones;;;;;;;;;x;;;;,,,,,,,,,,,
ammunition_factory_desc;Here, a wide variety of ammunitions are produced. The prerequisites are iron, coal and sulphur.;C'est ici que sont produits différents types de munitions à partir de fer, de charbon et de soufre.;Hier werden viele Arten von Munition produziert. Die Voraussetzungen sind Eisen, Kohle und Schwefel.;;Aquí se produce una gran variedad de municiones. Para ello hace falta disponer de hierro, carbón y azufre.;;;;;;x;;;;;;;,,,,,,
ammunition_production_desc;The design and production of basic munitions saw much improvement over the course of the 19th century. Advances in weapons design -- from muzzle to breech loads to semi-automatics and machine guns -- naturally meant that the design and production of ammunition also had to follow suit.;La conception et la production de munitions de base ont connu une nette amélioration au cours du XIXe siècle. Les progrès de l'armement (des fusils chargés par le canon aux fusils chargés par la culasse, en passant par les armes semi-automatiques et les mitrailleuses) ont naturellement entraîné une amélioration de la conception et de la production de munitions.;Im Verlauf des neunzehnten Jahrhunderts wurde auch das Design und die Produktion von Standardmunition stark verbessert. Die Fortschritte bei der Waffenentwicklung -- von Vorder- zu Hinterladern und dann zu halbautomatischen Waffen und Maschinengewehren -- bedeuteten natürlich, dass Munitionsdesign und-herstellung Schritt halten mussten.;;El diseño y la producción de munición básica se vieron muy incrementados a lo largo del siglo XIX. Los avances en el diseño de armas (desde las cargas delanteras y traseras a las semiautomáticas y las ametralladoras) significaron, lógicamente, que el diseño y la producción de munición tuvieran también su correspondiente progreso.;;;;;;;;;x;,,,,,,,
artillery_factory;Artillery Factory;Usine d'artillerie;Artilleriefabrik;;Fábrica de piezas de artillería;;;;;;;;;x;;;;,,,,,,,,,,,
artillery_factory_desc;Using steel and explosives, artillery is produced. Artillery greatly enhances the firepower of army divisions.;Les pièces d'artillerie sont produites avec de l'acier et des explosifs. L'artillerie renforce considérablement la puissance de feu des divisions armées.;Artilleriegeschütze werden mit Stahl und Sprengstoffen produziert. Artillerie erhöht die Feuerkraft von Armeedivisionen stark.;;La artillería se produce utilizando acero y explosivos. Ésta aumenta en mucho la potencia de fuego de las divisiones del ejército.;;;;;;x;;;;;;;,,,,,,,,,,
artillery_production_desc;The Industrial Revolution of the 19th century affected practically all areas of human endeavour, and the production of artillery was no exception. What had previously been a lengthy process of cast molding bronze cannons would -- in the hands of luminaries of the industry, such as Alfred Krupp or Hiram Maxim -- become an industrialized and exact sience.;La révolution industrielle du XIXe siècle a eu des répercussions sur d'innombrables domaines, notamment la production de pièces d'artillerie. Grâce à des sommités comme Alfred Krupp ou Hiram Maxim, la production d'armes devint une science industrialisée et exacte.;Die industrielle Revolution des neunzehnten Jahrhundert beeinflusste praktisch alle Bereiche des menschlichen Strebens, und die Herstellung von Artilleriegeschützen stellte da keine Ausnahme dar. Was anfangs noch ein mühsames Gußverfahren war, wurde durch industrielle Lichtgestalten wie Alfred Krupp oder Hiram Maxim zu einer industrialisierten und präzisen Wissenschaft.;;La revolución industrial del siglo XIX afectó prácticamente a todas las áreas del esfuerzo humano, y la producción de artillería no fue una excepción. Lo que previamente había sido un largo proceso de fabricación por molde de cañones de bronce acabaría convirtiéndose (en manos de luminarias de la industria, como Alfred Krupp o Hiram Maxim) en una ciencia industrializada y exacta.;;;;;;;;;x;,,,
automobiles;Automobiles;Automobiles;Automobile;;Automóviles;;;;;;;;;x;;;;,,,,,,,,,,,
automobile_factory;Automobile Factory;Usine d'automobiles;Automobilfabrik;;Fábrica de automóviles;;;;;;;;;x;;;;,,,,,,,,,,,
automobile_factory_desc;Machine parts, electric gear and rubber are needed to produce automobiles.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des automobiles.;Zur Automobilproduktion sind Maschinenteile, Elektroteile und Gummi erforderlich.;;Para hacer coches se necesitan componentes eléctricos, caucho y piezas de maquinaria.;;;;;;x;;;;;;;,,,,,,,
barrels;Tanks;Blindés;Geschützrohre;;Carros de combate;;;;;;;;;x;;;;,,,,,,,,,,,
barrel_factory;Tank Factory;Usine de blindés;Geschützrohrfabrik;;Fábrica de carros de combate;;;;;;;;;x;;;;,,,,,,,,,,,
barrel_factory_desc;Tanks were little more than artillery mounted on a moving chassis. Therefore, automobiles and artillery are required to produce tanks.;Les chars n'étaient guère plus que des pièces d'artillerie montées sur un châssis mobile. Par conséquent, des automobiles et des pièces d'artillerie sont nécessaires pour produire des chars.;Panzer waren anfänglich kaum mehr als auf bewegliche Untersätze montierte Artillerie. Daher sind Automobile und Artillerie zur Panzerproduktion erforderlich.;;Los tanques eran poco más que artillería montada sobre un chasis móvil. Por tanto, son necesarios automóviles y artillería para producir tanques.;;;;;;x;;;;;;;,,,,,,,,
